serial_nbr,batchID
S007B012523,B012523
S001B024197,B024197
S007B021714,B021714
S004B045871,B045871
S005B049423,B049423
S004B010342,B010342
S002B021963,B021963
S002B024934,B024934
S009B048860,B048860
S007B036483,B036483
S002B017254,B017254
S000B021719,B021719
S000B001566,B001566
S000B047870,B047870
S007B013371,B013371
S005B031768,B031768
S006B004122,B004122
S009B021003,B021003
S002B006933,B006933
S005B028106,B028106
S009B009379,B009379
S009B033345,B033345
S003B039646,B039646
S003B021329,B021329
S001B019874,B019874
S008B003032,B003032
S009B030076,B030076
S004B006906,B006906
S008B047247,B047247
S002B016408,B016408
S008B030671,B030671
S009B040021,B040021
S007B042001,B042001
S007B011438,B011438
S003B015512,B015512
S004B024403,B024403
S006B025027,B025027
S008B048582,B048582
S000B025319,B025319
S008B011803,B011803
S007B034291,B034291
S007B030076,B030076
S000B042452,B042452
S009B010482,B010482
S008B004849,B004849
S003B011735,B011735
S008B017514,B017514
S006B007260,B007260
S008B041205,B041205
S003B005869,B005869
S000B034778,B034778
S006B029719,B029719
S006B044322,B044322
S001B007734,B007734
S006B042332,B042332
S000B028106,B028106
S005B028103,B028103
S006B032695,B032695
S007B047280,B047280
S009B027225,B027225
S007B023620,B023620
S003B017406,B017406
S004B034422,B034422
S000B049512,B049512
S002B013475,B013475
S000B006920,B006920
S006B032318,B032318
S000B049579,B049579
S009B040150,B040150
S008B021400,B021400
S009B049521,B049521
S004B019329,B019329
S005B026084,B026084
S005B048535,B048535
S009B032096,B032096
S001B014320,B014320
S001B027416,B027416
S005B005923,B005923
S004B018511,B018511
S008B011411,B011411
S001B043247,B043247
S005B016226,B016226
S002B039820,B039820
S000B047594,B047594
S000B005083,B005083
S001B021487,B021487
S008B045665,B045665
S009B042449,B042449
S007B032248,B032248
S009B046128,B046128
S002B038014,B038014
S002B033517,B033517
S003B000339,B000339
S005B035887,B035887
S009B018887,B018887
S009B005145,B005145
S002B006557,B006557
S009B013097,B013097
S001B018223,B018223
S007B020654,B020654
S004B015488,B015488
S006B034927,B034927
S003B002882,B002882
S006B028287,B028287
S007B014629,B014629
