serial_nbr,batchID
S008B017905,B017905
S003B047981,B047981
S003B047081,B047081
S006B030185,B030185
S000B018620,B018620
S006B017504,B017504
S002B018949,B018949
S002B006554,B006554
S003B048799,B048799
S000B043870,B043870
S008B010252,B010252
S004B035797,B035797
S006B040196,B040196
S007B014076,B014076
S006B012538,B012538
S001B009186,B009186
S008B020595,B020595
S003B005064,B005064
S005B023003,B023003
S003B004657,B004657
S006B034663,B034663
S009B010018,B010018
S002B001490,B001490
S001B003828,B003828
S004B006186,B006186
S000B003402,B003402
S007B012862,B012862
S005B026187,B026187
S000B030459,B030459
S004B004518,B004518
S004B020659,B020659
S009B045737,B045737
S004B031288,B031288
S002B044789,B044789
S000B047516,B047516
S005B022345,B022345
S002B041507,B041507
S000B020838,B020838
S000B003404,B003404
S005B004505,B004505
S008B002785,B002785
S000B033207,B033207
S001B030302,B030302
S001B038776,B038776
S002B038925,B038925
S009B006456,B006456
S004B038708,B038708
S001B011273,B011273
S003B021018,B021018
S007B004270,B004270
S003B032172,B032172
S003B000907,B000907
S001B002766,B002766
S001B002467,B002467
S008B050240,B050240
S003B007475,B007475
S000B005398,B005398
S009B036220,B036220
S002B034936,B034936
S008B029949,B029949
S006B017100,B017100
S006B000832,B000832
S008B021986,B021986
S004B049644,B049644
S001B042920,B042920
S007B038668,B038668
S001B017504,B017504
S005B025145,B025145
S005B002685,B002685
S007B016797,B016797
S005B023382,B023382
S006B032127,B032127
S000B023809,B023809
S007B047615,B047615
S003B004518,B004518
S002B020606,B020606
S001B029454,B029454
S002B014692,B014692
S006B032385,B032385
S007B048165,B048165
S005B013296,B013296
S006B000065,B000065
S008B046120,B046120
S003B027297,B027297
S004B026696,B026696
S005B037533,B037533
S004B004867,B004867
S008B009153,B009153
S003B028588,B028588
S001B012734,B012734
S005B033163,B033163
S004B031480,B031480
S005B019578,B019578
S007B045340,B045340
S008B041749,B041749
S003B007352,B007352
S002B028489,B028489
S004B008673,B008673
S003B006915,B006915
S000B047098,B047098
S002B039083,B039083
S003B009153,B009153
S004B023203,B023203
S002B021557,B021557
S009B005833,B005833
S001B026342,B026342
S004B045313,B045313
S000B039869,B039869
S006B023132,B023132
S009B014435,B014435
S002B032671,B032671
S008B025158,B025158
S002B043913,B043913
S005B005022,B005022
S000B031492,B031492
S003B007192,B007192
S005B014519,B014519
S008B036406,B036406
S003B015663,B015663
S008B046044,B046044
S006B036182,B036182
S005B017613,B017613
S005B043913,B043913
S003B020304,B020304
S004B001165,B001165
S002B015080,B015080
S000B028282,B028282
S008B044722,B044722
S001B031797,B031797
S000B013957,B013957
S002B019189,B019189
S005B007124,B007124
S003B000975,B000975
S009B009090,B009090
S008B006915,B006915
S001B000837,B000837
S008B031492,B031492
S002B005875,B005875
S005B030657,B030657
S004B027517,B027517
S002B023232,B023232
S005B036274,B036274
S001B016263,B016263
S003B031436,B031436
S002B014031,B014031
S006B025528,B025528
S004B040623,B040623
S003B041039,B041039
S007B009153,B009153
S008B008457,B008457
S009B042549,B042549
S002B005313,B005313
S001B041532,B041532
S009B023842,B023842
S009B034055,B034055
S002B033087,B033087
S009B003847,B003847
S000B033074,B033074
S003B008045,B008045
S009B034886,B034886
S000B019417,B019417
S003B005455,B005455
S005B017100,B017100
S009B027458,B027458
S007B042859,B042859
S008B001673,B001673
S001B047644,B047644
S003B005332,B005332
S009B049689,B049689
S002B024519,B024519
S000B000770,B000770
S007B002307,B002307
S001B019221,B019221
S006B048346,B048346
S005B024090,B024090
S006B012020,B012020
S007B035201,B035201
S009B004623,B004623
S001B003449,B003449
S003B037543,B037543
S005B022867,B022867
S005B028869,B028869
S004B010712,B010712
S009B034022,B034022
S006B012983,B012983
S008B021487,B021487
S000B016848,B016848
S000B048276,B048276
S002B043787,B043787
S005B043958,B043958
S004B041662,B041662
S001B025625,B025625
S008B019452,B019452
S000B018008,B018008
S007B014144,B014144
S004B009912,B009912
S006B044242,B044242
S001B013529,B013529
S008B035698,B035698
S004B019607,B019607
S006B030149,B030149
S000B042470,B042470
S008B037852,B037852
S008B044212,B044212
S004B019978,B019978
S009B043965,B043965
S000B008764,B008764
S008B039381,B039381
S003B026763,B026763
S001B047838,B047838
S000B027203,B027203
S008B025818,B025818
S002B014222,B014222
S002B017966,B017966
S001B009170,B009170
S004B037833,B037833
S004B023144,B023144
S009B028288,B028288
S006B038631,B038631
S008B023959,B023959
S005B023263,B023263
S008B043870,B043870
S002B008118,B008118
S004B037810,B037810
S008B005874,B005874
S001B010864,B010864
S002B016025,B016025
S006B010735,B010735
S003B028869,B028869
S003B018481,B018481
S000B039040,B039040
S005B010222,B010222
S009B012143,B012143
S005B014849,B014849
S004B020456,B020456
S009B049644,B049644
S007B042012,B042012
S000B003944,B003944
S000B044737,B044737
S005B014520,B014520
S003B021577,B021577
S006B001974,B001974
S002B041002,B041002
S006B041415,B041415
S003B041392,B041392
S004B049548,B049548
S002B018774,B018774
S005B014579,B014579
S004B007283,B007283
S004B035180,B035180
S009B011966,B011966
S005B033074,B033074
S008B045677,B045677
S003B049114,B049114
S001B032195,B032195
S005B001092,B001092
S009B050270,B050270
S003B016641,B016641
S009B022292,B022292
S006B022298,B022298
S000B034710,B034710
S002B011642,B011642
S003B029702,B029702
S004B048253,B048253
S000B004388,B004388
S002B024685,B024685
S006B048033,B048033
S004B016381,B016381
S009B024051,B024051
S009B039913,B039913
S001B019056,B019056
S000B004732,B004732
S005B030209,B030209
S003B012122,B012122
S002B009649,B009649
S006B046030,B046030
S000B026945,B026945
S005B034055,B034055
S003B002091,B002091
S007B024706,B024706
S008B041518,B041518
S009B032981,B032981
S005B012065,B012065
S000B023812,B023812
S003B042470,B042470
S005B017528,B017528
S002B017896,B017896
S001B000614,B000614
S002B016828,B016828
S004B014020,B014020
S006B022901,B022901
S003B045551,B045551
S002B036296,B036296
S005B029865,B029865
S003B010095,B010095
S008B001789,B001789
S006B001833,B001833
S002B025621,B025621
S005B000950,B000950
S006B047273,B047273
S004B001395,B001395
S008B013070,B013070
S005B004657,B004657
S007B029702,B029702
