ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
1,0.556,-0.338,0.997,0.441,-0.184,0.842,2.821,-0.303,0.419,-0.881,1.542,0.116,-0.186,0.846,1.366,-2.704,0.072,-0.111,-1.616,-1.473,-0.062,0.949,-0.102,-0.041,-1.499,1.582,1.453,0.203,-1.093,-0.509,1.409,-0.332,0.86,-0.337,-0.108,0.184,-0.746,1.485,1.222,0.958,-0.597,2.088,1.079,0.43,-0.845,-2.445,-0.019,-1.929,0.622,1.295
2,-0.935,1.134,-0.207,-1.167,-0.683,-0.248,0.845,-0.204,-0.331,-0.79,0.809,-0.378,0.89,0.126,3.824,2.57,-0.88,-1.792,0.829,1.87,-0.074,-0.929,-0.818,0.863,-0.634,-0.588,-0.752,0.218,0.113,-0.957,0.492,0.144,1.55,0.837,3.453,0.916,0.516,-0.181,0.307,0.33,1.654,0.304,-1.587,1.761,-0.209,-0.398,-0.114,-0.75,-1.32,0.395
3,2.175,0.083,0.958,1.016,-0.017,-2.226,2.336,0.494,1.648,0.028,0.704,-0.832,0.931,0.295,1.547,-2.247,-0.858,-0.975,0.012,-1.727,0.154,0.373,-0.64,0.988,1.383,-0.972,1.149,-0.931,0.129,-0.976,-0.625,-0.554,0.749,1.327,-0.811,1.262,0.234,-0.294,1.259,-1.685,-0.683,-0.5,0.058,0.719,0.794,-0.917,0.877,-0.645,0.434,-0.151
4,-0.084,-0.862,-0.042,-0.167,0.875,-0.501,-0.077,-1.462,1.899,0.474,0.835,0.073,1.49,-0.722,-2.653,-0.137,0.867,0.66,0.457,0.201,-1.934,0.343,1.008,0.197,0.193,1.222,-0.918,-0.302,-0.545,1.1,0.205,-1.015,-1.756,-0.09,0.778,0.873,-1.989,-1.767,-0.602,-1.808,0.281,-0.333,-1.395,0.005,-0.632,0.046,-0.021,-1.049,-1.009,0.805
5,0.492,-0.211,-0.713,0.227,-1.629,2.05,1.671,0.207,-0.037,2.461,0.948,0.241,-0.511,-0.15,0.858,-3.49,0.264,0.89,0.408,-0.991,0.003,-2.047,-1.453,0.921,-0.515,0.081,0.712,-0.257,0.373,-0.659,0.182,-1.187,-1.726,0.003,0.76,2.022,0.389,0.317,-1.441,0.379,-1.393,0.951,0.032,-1.067,-0.056,1.497,0.348,-0.778,-2.741,0.103
6,-0.92,-0.452,-0.834,-0.462,0.034,0.291,-1.804,1.125,-0.642,0.167,-0.368,-0.165,-0.327,0.903,-3.071,1.003,-0.715,-0.857,0.114,-1.359,-0.636,-1.199,0.668,2.481,0.575,0.043,-0.943,-1.051,-0.438,-1.799,-1.578,1.165,0.418,-1.186,0.304,-0.706,-0.336,1.342,-0.38,-0.312,0.727,0.19,-0.346,0.386,-0.735,-0.053,-0.028,-1.113,-0.32,0.11
7,0.849,-0.407,1.609,-0.468,1.099,-1.813,2.7,1.315,0.471,-0.363,-0.171,0.262,0.787,-0.37,2.18,-1.439,-0.854,1.106,-0.919,-2.539,-0.331,-1.167,0.481,-0.85,0.357,0.723,0.098,-0.376,-0.673,1.408,0.919,-2.644,-1.245,0.269,-1.076,-1.004,1.293,-1.477,2.187,-0.391,-0.516,0.568,0.848,-0.754,0.216,0.097,1.216,-0.836,0.118,1.474
8,0.719,1.988,2.314,-0.558,1.44,0.37,3.685,0.382,1.729,0.894,-1.826,-1.092,-0.206,0.651,2.568,-1.359,-1.005,0.722,0.098,-2.816,1.624,0.631,-0.941,-0.977,-0.107,-0.369,-0.421,-0.92,-1.266,-0.677,1.068,-0.628,0.362,-0.047,-0.241,1.221,-1.167,-0.859,-1.127,-2.104,0.581,1.274,-0.493,-0.238,0.293,-1.017,1.663,-2.619,-2.296,-2.459
9,-0.019,-1.592,-1.734,-0.501,1.368,1.356,1.702,-1.026,1.464,0.02,-0.826,1.206,1.843,-0.711,0.489,-4.04,0.666,-0.961,-0.751,-0.531,1.013,1.042,1.116,-1.431,-1.953,-0.25,0.473,-1.474,-1.887,-1.528,-1.053,-0.661,-0.464,-0.463,-2.443,-0.289,-0.911,-0.663,1.154,-0.579,0.772,-1.341,0.618,-0.448,0.317,-0.643,1.28,-0.744,-1.286,-0.829
10,-2.133,-0.681,0.047,0.312,0.691,0.269,0.03,0.382,1.408,0.177,0.523,1.16,-1.627,0.242,-0.063,-3.665,1.258,-1.143,1.655,-0.142,2.204,-1.062,-0.091,-1.015,-0.439,-0.883,0.12,1.032,-2.135,2.773,-0.695,-0.356,0.138,-1.982,-0.04,1.21,-1.039,1.271,0.223,1.486,-0.032,-2.126,-0.064,0.29,-0.328,0.024,0.429,-0.401,-1.928,-2.33
11,-1.381,0.926,-0.315,0.594,0.202,-0.812,3.515,0.734,0.707,-1.259,-0.384,-0.723,0.019,-0.703,0.349,-4.255,0.782,-0.345,1.205,-0.942,-1.264,-1.915,1.535,0.623,0.116,0.278,-0.685,-0.194,0.771,1.896,-0.468,-1.253,1.072,0.004,-0.729,-0.981,0.218,-0.116,1.604,-0.486,0.852,0.244,-1.945,-0.107,-1.416,2.122,-0.059,0.79,1.086,0.083
12,-0.357,-0.063,-0.37,0.697,0.69,-0.107,1.496,0.67,-0.463,-1.131,0.994,1.482,-0.051,0.748,0.792,-4.849,0.299,-1.928,-1.556,-0.317,0.788,-0.49,-0.54,0.185,-0.257,-0.581,0.016,0.765,0.08,0.45,-1.138,1.432,0.882,-1.638,-1.126,-0.881,-0.83,1.034,0.49,0.369,-0.422,1.373,0.046,0.44,1.004,-0.261,-0.838,-1.616,-1.796,-1.249
13,-0.588,-0.417,0.02,1.132,0.645,0.405,-0.596,-1.405,0.521,0.372,-0.931,-0.038,0.681,-1.512,-0.466,0.527,1.362,-0.249,0.249,-1.992,-1.362,-1.889,-0.467,0.424,-0.483,0.225,0.012,-0.485,0.771,-1.077,1.304,0.532,1.983,0.651,-0.866,-0.435,0.759,-1.614,0.126,1.166,-0.848,-0.449,0.04,0.514,0.999,-1.538,-0.655,-3.189,0.031,0.24
14,-0.775,-1.176,0.13,-0.518,-0.717,-0.753,-2.539,0.489,0.45,1.182,1.742,0.694,0.151,1.476,0.244,2.491,0.336,-1.297,-1.461,-2.936,1.384,-1.023,-0.188,0.397,-1.472,-0.941,0.117,-0.167,0.499,-1.092,1.187,-0.09,-0.813,0.967,1.228,-0.9,-1.477,-0.1,0.196,-0.318,1.074,0.632,-0.966,1.01,0.443,0.019,-1.579,-3.733,1.169,0.895
15,-0.113,-0.275,-0.312,0.414,1.426,1.395,-1.216,0.417,0.287,-1.059,-0.292,-0.448,1.245,0.334,-0.663,3.059,0.153,0.634,-1.537,-3.41,-0.631,1.092,-1.342,-0.279,-1.732,0.286,-0.629,-0.348,0.424,0.712,-2.025,-0.447,2.657,-0.273,-0.337,0.168,-0.182,0.358,-0.261,0.407,1.082,-0.13,-0.003,1.383,-0.412,2.253,-1.408,-3.358,-0.981,0.528
16,-1.342,1.314,-0.115,-1.078,0.671,-0.547,3.279,-0.914,-0.396,0.835,0.419,-1.456,0.152,-2.475,1.646,-1.966,0.963,-0.199,1.383,-1.573,-1.452,0.058,0.115,-0.161,0.908,-0.154,0.584,-0.734,-0.043,0.427,0.058,-0.197,-1.396,-0.737,0.518,-0.932,-0.017,1.541,0.651,0.032,0.176,0.76,0.872,0.86,0.042,-0.046,1.057,-1.691,-1.007,0.265
17,1.296,1.435,0.163,0.963,0.054,1.655,-0.935,1.062,0.402,-0.683,-0.455,0.171,0.226,-0.258,-1.051,1.308,0.077,0.066,-0.126,-1.167,0.583,0.88,-0.918,0.05,0.964,0.49,1.313,1.255,-0.974,0.299,1.306,1.038,-0.261,0.72,-0.156,3.401,0.414,-1.201,2.311,0.215,-1.676,1.511,-0.554,-0.577,1.318,0.038,-0.704,-2.403,1.375,1.347
18,0.76,1.02,0.665,-0.046,-0.505,-1.058,1.915,-0.269,0.832,-1.39,-0.273,1.261,-0.058,-0.77,0.921,-2.784,0.312,0.054,0.912,-1.438,-0.282,-0.364,0.07,0.007,-0.83,1.63,1.677,-1.0,-0.35,1.513,1.166,-0.05,-1.413,0.284,-0.519,-0.551,-0.339,1.515,0.421,1.131,1.084,0.914,1.243,-0.941,0.902,-0.162,-0.286,0.013,1.559,-1.219
19,-1.799,-0.498,0.387,2.494,-0.897,-0.557,-2.945,0.507,1.235,-0.156,0.461,0.142,-0.192,0.122,-2.247,3.593,2.032,0.607,1.998,-2.16,-0.27,0.3,-0.923,0.282,0.913,0.38,1.194,0.054,1.493,0.489,1.033,1.099,0.695,0.65,-0.303,-0.053,-0.342,-0.514,-1.465,0.94,0.977,-1.016,-0.902,-0.358,-0.223,0.426,0.867,-1.924,0.213,-0.887
20,-0.567,1.165,-0.391,1.003,1.673,-0.037,-0.572,-0.058,1.807,-0.599,1.884,-0.102,-0.269,0.086,2.031,2.346,0.2,1.742,-1.069,1.623,-1.412,0.743,0.071,0.636,-0.42,0.096,1.334,-1.279,-2.157,0.381,-0.222,-1.015,0.126,-0.401,-0.372,-0.531,0.106,-1.753,-0.332,-0.393,0.336,0.439,-1.112,1.747,-1.217,0.415,-1.21,4.763,-0.92,1.16
21,-1.117,0.519,-0.744,0.52,0.522,0.394,1.852,-0.501,2.497,0.246,-1.508,0.74,-1.0,0.506,-2.54,-3.488,2.126,-0.142,0.499,2.272,0.104,-1.161,0.287,-0.881,0.438,-0.87,0.451,2.394,-1.117,-2.146,-1.12,0.129,-0.267,1.515,0.296,1.439,1.448,-1.601,-0.181,-1.052,-0.049,0.144,-0.313,-1.545,0.124,0.385,-1.982,2.085,-1.782,-1.128
22,1.389,-0.361,0.298,1.441,-0.279,-1.223,0.032,-1.187,-0.341,-0.713,-0.313,-0.418,-0.733,-0.351,3.965,1.214,0.308,-1.178,0.691,0.288,1.644,-0.908,-1.203,0.355,-0.535,-2.031,-1.516,0.559,1.004,0.311,-0.263,1.111,-0.715,0.118,-1.632,0.819,1.006,1.476,0.98,0.191,0.296,-0.712,1.883,-0.904,-0.053,-0.418,1.586,1.404,0.968,0.074
23,0.017,0.744,0.179,-0.666,0.017,0.483,-2.354,1.33,-0.989,-0.567,-1.609,-1.25,-0.954,0.488,2.488,-0.925,1.297,-0.292,2.298,4.686,0.23,0.191,0.39,1.231,0.314,1.331,-0.384,-0.087,-0.049,0.14,1.099,0.474,1.949,0.58,0.699,-0.112,-0.37,-0.326,-0.504,0.267,-0.776,-0.141,-0.15,2.011,0.355,2.147,-1.99,-3.106,-0.527,-0.461
24,-1.125,-1.847,-1.314,-0.418,-1.312,0.575,1.835,0.101,-0.03,0.004,-0.054,-0.334,-0.98,0.134,-2.077,-0.172,0.277,0.251,-0.77,0.743,-0.888,-0.456,-0.408,0.524,-0.503,-1.125,0.311,0.262,0.155,0.127,2.125,-0.502,0.991,2.126,-0.182,1.467,1.855,0.803,-1.283,-0.091,0.125,-1.414,-0.287,1.39,-0.932,-0.778,-2.056,2.267,0.101,0.972
25,0.377,1.299,-0.036,0.29,1.013,0.45,-2.061,0.085,-0.129,0.63,-0.822,-0.846,0.826,1.078,1.977,3.271,0.179,0.536,0.237,0.69,-0.344,-1.732,0.827,-2.433,1.473,-1.226,-3.249,-0.408,-1.254,-0.254,0.72,-0.193,-0.628,1.433,-0.913,0.052,0.169,-0.837,1.129,-0.112,-0.233,1.606,-0.655,1.129,0.023,-0.149,-1.044,3.951,2.767,2.38
26,-1.985,-1.271,0.901,0.652,-0.376,0.724,2.202,-0.442,-1.517,0.834,0.45,0.399,0.621,-0.226,-1.375,-2.551,0.591,0.027,0.845,3.621,-1.135,-0.2,1.722,0.714,-1.202,-0.986,-0.763,0.788,1.004,-0.275,-1.156,-0.966,-1.446,1.27,-0.397,-1.293,-0.764,0.233,-1.431,-1.025,-0.408,-0.127,-0.276,-1.472,-0.606,-0.835,0.064,3.122,0.671,0.063
27,-0.357,1.631,1.634,-0.146,-2.348,-0.982,2.211,0.917,0.342,0.591,-0.228,-0.309,0.692,-1.257,1.757,2.999,-1.554,-3.067,0.243,0.526,-1.202,0.839,0.76,1.975,-1.838,0.675,-0.749,0.901,-0.459,-0.287,-0.418,-1.308,0.373,-0.292,1.0,0.255,-1.006,-2.087,0.179,0.804,-0.793,-0.694,-1.394,-0.104,1.413,-0.769,-0.072,-0.942,0.724,1.238
28,-0.09,1.751,-2.432,-0.209,-0.358,-0.357,2.064,0.091,0.955,-0.341,-0.633,0.567,0.585,-0.471,-1.648,-3.928,-0.477,1.238,1.136,2.387,-0.074,0.183,0.694,-0.38,0.336,2.116,-0.612,-0.04,1.14,-1.057,0.53,0.07,-0.229,-0.406,-1.63,-0.868,-1.249,-0.074,-1.352,0.056,1.351,-0.939,1.34,-1.335,1.145,-0.732,0.085,2.274,0.025,-0.287
29,-1.321,1.294,-0.341,0.103,-1.697,0.756,-2.222,0.151,-1.02,1.962,-0.17,-2.179,0.202,1.704,1.482,2.391,0.648,0.678,1.112,2.188,0.48,-0.223,-0.777,-0.861,0.307,-0.093,-0.33,-0.334,-1.339,1.275,0.147,0.161,0.345,0.097,-0.444,0.815,0.044,-1.3,-1.16,-1.046,2.016,-0.318,0.857,-1.734,-0.107,-0.82,1.725,2.558,1.146,0.292
30,0.962,0.628,0.619,-0.36,0.024,-0.397,0.157,-1.405,-0.456,0.734,-1.381,-0.512,0.345,0.141,2.612,2.688,-1.596,1.21,0.346,0.344,-0.626,-0.695,-0.547,-0.076,-0.262,1.218,0.604,-0.903,0.255,-0.402,-0.187,0.414,-0.912,-0.691,0.016,-1.682,0.137,-0.317,-0.622,-1.639,-1.177,0.495,-0.906,0.093,-0.891,0.552,-0.345,5.29,0.339,-1.262
31,0.785,0.022,0.051,0.808,-0.01,1.506,1.517,2.176,0.503,0.218,-0.298,0.057,-1.022,2.555,-2.597,-2.043,1.209,-1.696,0.249,1.169,-1.509,0.12,2.857,0.216,-0.11,-1.688,-1.394,0.491,-1.693,1.611,-0.516,1.285,0.666,2.433,-0.827,0.166,2.397,0.355,-0.795,-0.67,-0.642,0.418,0.586,-1.829,0.368,1.23,0.304,1.979,0.567,-2.124
32,-0.73,0.147,-0.726,0.399,-0.598,-0.458,-2.181,0.488,-1.074,-1.735,-0.947,-0.204,0.472,-0.648,1.061,2.898,1.483,-0.74,-0.228,1.676,-0.742,-1.764,0.108,-1.386,-0.332,1.637,0.121,-0.239,-0.124,-0.535,-1.111,-2.016,0.963,1.532,0.866,-1.048,-0.223,-0.776,-0.669,-0.079,-0.049,0.11,0.128,2.029,0.547,1.201,-0.658,2.365,-0.231,0.405
33,0.003,-0.442,-1.026,2.784,-0.165,-0.686,-1.843,-0.421,0.603,0.362,-1.633,-0.025,0.985,0.445,1.155,-0.215,0.648,-2.111,-2.593,5.471,-0.663,0.777,-0.369,0.557,-1.531,0.342,-1.127,-0.146,0.265,0.505,0.356,0.558,-0.329,-0.674,0.224,-1.404,1.369,1.72,0.732,0.236,0.869,-1.765,-1.247,-0.38,-0.365,-2.045,1.432,-0.16,0.734,-1.502
34,0.466,-0.444,-1.015,-0.323,-0.649,-0.281,-3.571,0.867,0.359,-0.392,-2.147,1.592,0.328,-1.118,1.217,4.108,0.783,-1.352,1.751,0.396,-0.885,0.752,0.686,-0.605,0.093,0.943,0.538,-0.083,-0.228,0.424,0.339,-0.368,-1.319,0.582,-3.11,-0.488,-1.079,-1.046,0.708,-1.144,0.919,-0.851,-0.794,-1.705,0.753,-0.973,-1.002,2.715,0.214,-0.92
35,-2.09,-0.006,-0.208,-0.106,-0.478,-0.164,2.377,-1.955,-1.584,2.205,-0.302,0.004,-0.622,0.535,-0.797,0.447,1.566,-0.419,-0.572,2.441,1.0,0.269,-0.817,0.509,1.034,1.076,-2.273,-0.031,-2.129,0.031,-1.01,0.659,-0.387,1.983,0.102,1.174,0.657,-0.008,-0.636,0.24,-0.176,-1.299,-0.211,0.423,1.225,-0.438,0.293,2.43,2.058,-1.418
36,0.398,0.378,0.978,0.932,0.866,0.012,-1.773,-3.845,0.568,-1.845,-0.327,1.535,1.27,-2.088,1.449,-0.91,0.875,-0.103,-1.635,5.73,0.182,1.659,-0.204,0.205,-0.744,1.278,0.353,-0.284,-1.415,-1.091,0.489,0.576,-1.447,-0.961,-0.053,0.413,0.882,0.917,-1.197,0.749,1.343,-0.547,-1.919,-0.328,-3.295,-0.983,-1.452,-2.046,0.177,-1.308
37,1.902,-1.41,-0.139,-1.611,0.126,-1.643,2.731,-0.146,-0.366,0.367,-0.319,-0.661,1.283,-0.049,-0.48,-2.984,-2.977,0.081,-0.385,1.833,-0.402,-0.125,1.531,0.959,0.378,0.459,1.082,-0.616,0.089,-0.056,0.427,0.199,-1.166,0.27,-1.156,1.176,0.555,-1.064,1.802,0.559,0.864,-1.132,1.274,0.001,-0.137,1.292,1.847,1.801,0.135,1.295
38,-0.787,0.57,-0.641,0.591,-1.554,0.891,2.747,-0.893,1.257,-1.524,-1.113,0.71,-1.039,-0.217,1.776,0.913,1.609,-0.237,-0.378,2.1,0.703,0.192,-0.74,0.212,0.369,-0.616,-0.04,0.972,-0.238,0.067,-1.09,2.688,0.409,-0.339,1.819,-0.942,0.665,-0.699,-0.534,-1.445,0.623,-0.71,2.128,-0.404,2.075,0.231,0.871,-1.878,0.458,0.204
