batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B008457,918,662,246,743,503,526,531,900,3,184,422,47,873,120,766,662,493,814,647,96,407,716,86,88,348,671,96,743,95,898
B022992,710,716,587,746,726,37,544,453,332,586,876,625,906,947,493,320,481,233,108,691,471,727,895,511,928,379,765,458,42,579
B030845,76,360,696,596,95,132,500,34,841,716,385,978,142,500,367,788,56,999,833,119,692,563,332,436,428,921,542,347,354,609
B027829,437,319,244,219,73,911,855,180,979,203,282,201,52,37,971,571,2,3,92,757,238,305,545,790,791,99,190,589,773,161
B018931,874,413,511,627,314,497,838,796,61,185,625,777,458,421,811,173,721,734,321,736,445,787,236,948,962,835,676,476,280,582
B017167,765,421,95,285,645,446,662,678,263,549,258,615,816,869,77,713,47,546,418,650,19,515,655,223,109,870,440,730,203,853
B033830,664,47,174,193,843,227,29,304,335,229,629,689,164,118,878,231,272,158,433,885,181,61,50,392,831,352,292,396,575,845
B039127,286,781,391,104,904,721,626,363,136,196,101,493,692,457,991,529,563,213,245,49,804,780,667,911,454,848,394,266,594,303
B042136,111,3,391,577,818,863,664,158,694,18,815,491,288,152,911,980,188,265,99,776,429,931,788,979,970,680,748,243,285,987
B041049,319,198,619,899,26,259,526,95,485,177,937,784,158,996,753,852,676,823,318,232,223,289,354,156,459,724,143,146,118,410
B005178,37,209,999,863,995,403,343,342,742,159,689,449,583,515,197,795,142,623,919,730,1,856,511,916,538,65,849,390,513,863
B031415,503,815,882,22,74,451,928,389,582,69,85,15,204,965,692,272,78,276,242,635,980,123,525,67,712,370,823,337,577,81
B004381,513,148,442,356,723,430,603,495,824,324,161,729,821,403,604,802,99,950,308,312,695,169,797,325,383,686,864,952,852,732
B035374,264,648,881,271,422,238,148,422,19,856,456,576,115,238,129,488,850,38,982,690,313,907,490,257,163,628,405,435,846,902
B027637,158,559,146,858,622,165,145,791,192,834,247,699,382,109,256,166,727,796,89,912,565,131,545,633,271,440,117,278,597,297
B026031,772,153,980,391,407,297,272,292,10,235,37,119,915,317,309,563,835,135,303,376,787,246,750,10,859,629,528,753,436,144
B035076,260,668,978,491,264,581,977,805,163,154,90,646,687,424,235,478,528,10,584,141,105,235,308,619,442,12,925,442,58,767
B038053,422,38,159,696,786,742,402,106,446,514,527,646,480,686,648,91,680,170,258,999,933,848,903,832,733,793,70,999,132,829
