batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B034661,696,867,745,621,552,885,422,949,334,394,139,870,942,74,115,935,465,310,213,487,284,489,586,989,747,810,675,893,782,69
B025934,668,951,586,227,981,19,655,748,255,308,757,59,155,231,30,645,244,610,878,681,711,976,502,561,238,516,982,965,965,707
B003756,694,982,147,785,111,992,841,132,887,612,658,813,586,469,428,830,954,16,273,994,903,799,149,826,686,17,395,912,451,704
B001011,953,846,627,388,605,176,401,866,197,2,593,6,607,595,578,35,371,187,61,480,439,879,506,521,77,243,819,765,295,362
B028427,668,551,868,328,912,161,469,240,830,547,6,773,463,292,569,211,317,330,799,863,914,428,597,144,903,443,901,66,146,785
B038321,127,854,623,983,679,219,400,300,185,170,954,442,504,690,271,317,685,61,808,12,736,845,172,356,541,769,828,247,385,130
B031049,785,997,949,550,825,365,421,277,939,925,505,772,586,580,970,569,302,341,665,697,864,905,58,406,611,0,614,120,363,562
B048603,492,1,182,79,478,668,633,131,845,374,860,286,564,107,795,440,608,477,582,454,207,510,873,972,258,355,354,792,633,402
B006088,211,875,78,387,68,293,987,771,141,239,243,983,791,95,223,169,269,469,55,204,720,540,696,654,319,116,980,299,581,878
B004005,181,301,701,515,525,629,320,528,859,787,886,660,992,415,183,731,386,999,581,908,422,80,184,29,819,484,608,662,476,475
B002095,396,307,928,414,603,917,270,412,702,423,44,368,919,386,226,938,667,41,924,864,955,479,140,554,186,20,353,1,659,243
B033135,478,171,532,84,854,738,216,901,201,434,603,569,110,692,732,138,769,729,360,252,760,564,724,659,787,552,899,205,106,489
B031075,804,186,115,827,459,236,628,68,899,365,210,1,631,687,477,451,386,837,656,255,263,234,989,504,387,75,102,934,704,689
B038719,872,436,660,505,114,163,35,967,945,232,140,753,806,930,19,128,289,923,997,624,894,928,771,787,19,734,779,505,565,691
B047296,317,463,441,460,918,786,313,240,926,385,444,932,318,320,388,263,293,980,710,590,956,999,356,850,764,842,741,984,645,937
B039446,471,667,17,896,53,110,265,512,173,263,620,932,550,595,877,263,22,36,791,778,654,939,379,557,723,311,818,609,953,2
B014608,414,390,618,6,290,344,694,246,509,410,374,123,760,420,830,53,159,410,57,262,776,684,860,336,250,627,977,787,660,847
B009859,840,219,491,90,293,730,83,352,364,723,726,307,86,118,324,897,205,342,795,36,27,982,103,136,849,697,492,476,431,491
B016923,466,681,447,889,349,949,186,985,249,117,776,715,966,8,949,561,497,528,605,183,963,927,967,818,191,501,299,164,197,207
B049499,46,159,401,28,725,473,556,700,224,971,405,15,821,312,893,445,12,878,306,537,666,355,947,865,641,2,29,400,567,574
B045573,776,150,934,151,415,65,411,275,328,448,262,150,565,834,742,736,706,431,301,6,259,500,430,515,108,56,158,975,482,945
B023920,264,468,296,191,896,253,540,100,794,897,51,808,518,131,716,213,586,25,796,597,288,892,860,314,340,403,723,241,456,265
B002185,810,603,740,386,390,9,442,45,702,297,297,19,820,942,668,578,18,623,508,204,545,285,338,101,588,717,160,557,782,890
B023469,272,515,773,378,81,559,778,674,104,81,956,597,684,331,90,148,886,700,254,435,961,786,131,396,699,545,304,961,966,458
B028235,774,821,224,864,397,435,112,410,52,572,193,92,614,497,477,120,243,438,827,911,709,801,850,927,660,758,165,541,910,748
B022332,438,508,743,797,346,190,986,410,91,645,95,280,373,424,805,453,238,342,544,794,801,126,914,306,360,723,68,281,14,700
B047388,496,81,483,528,150,641,179,966,716,559,401,258,178,655,751,282,611,278,41,154,246,732,750,757,575,807,697,149,284,454
B037418,162,377,497,668,610,839,663,286,637,552,654,648,759,242,67,635,875,191,118,744,780,123,388,757,346,567,203,833,504,110
B026500,992,810,926,612,56,292,579,49,571,116,479,211,363,955,542,367,359,268,138,367,58,921,26,234,321,654,580,412,48,608
B018968,311,919,139,110,561,727,511,213,631,340,432,510,25,800,487,576,349,193,422,670,266,424,752,988,575,895,523,710,688,795
B019522,829,171,114,279,560,409,484,763,55,696,972,783,786,987,567,131,761,131,711,970,372,638,603,812,288,819,607,282,679,924
B008613,678,899,721,88,250,871,952,114,548,189,876,823,653,852,49,319,226,56,153,385,553,164,342,253,273,638,128,299,302,748
B030383,381,551,856,339,93,910,242,280,345,889,645,557,848,527,153,781,591,570,909,413,707,944,202,534,220,304,577,656,911,908
B036104,505,471,317,366,103,274,968,515,299,615,143,231,381,886,370,32,678,413,659,690,24,76,961,945,974,185,635,816,996,61
B033163,302,275,53,821,411,974,205,958,609,548,40,718,672,525,1,399,573,433,272,770,679,809,799,652,669,265,365,427,529,516
B046386,877,734,578,579,42,211,63,484,553,870,875,4,391,415,236,9,198,271,658,109,649,81,294,274,44,396,89,662,937,580
B030860,662,578,988,670,637,552,775,671,432,81,901,306,730,751,920,735,235,639,877,381,559,292,101,304,644,683,428,143,254,74
B046809,648,126,886,358,83,630,483,124,815,751,146,4,944,909,876,426,516,956,858,418,565,2,664,533,445,40,114,792,222,561
B045449,145,992,834,944,646,963,909,783,798,478,364,260,759,12,606,438,942,511,892,555,796,522,502,783,790,94,100,549,9,412
B027080,606,28,527,3,563,451,52,983,654,477,460,796,804,205,595,570,518,401,830,402,812,484,8,239,306,947,325,465,527,38
